word1-translated	word2-translated	SimLex999
جرم	چوری	7.53
انداز	فیشن	8.5
حد	سرحد	9.08
بازو	جسم	4.05
کشتی	کار	2.37
سینڈوچ	دوپہر کا کھانا	6.3
دلہن	شہزادی	2.8
نایکا	ہیرو	8.78
کار	گیج	1.13
کیڑے	مکھی	6.07
کٹیا	جھولا	8.55
جانور	شخص	3.05
ماریجوانا	جڑی بوٹی	6.5
بستر	ہسپتال	0.92
گال	زبان	4.52
ڈسک	کمپیوٹر	3.2
وکر	زاویہ	3.33
گھاس	ماں	5.0
اسکول	قانون	1.13
پاؤں	سر	2.3
ماں	سرپرست	6.5
آرتھوڈونٹسٹ	دانتوں کا ڈاکٹر	8.27
شراب	شراب	7.27
منہ	دانت	6.3
ناشتہ	بیکن	4.37
باتھ روم	بیڈروم	3.4
پلیٹ	کٹورا	5.23
گوشت	بیکن	5.8
ہوا	ہیلیم	3.63
کارکن	آجر	5.37
جسم	سینے	4.45
بیٹا	باپ	3.82
دل	سرجری	1.08
عورت	سیکرٹری	1.98
آدمی	باپ	4.83
ساحل سمندر	جزیرہ	5.6
کہانی	موضوع	5.0
کھیل	مزہ	3.42
ہفتے کے آخر	ہفتے	4.0
جوڑے	جوڑی	8.33
عورت	بیوی	5.72
بھیڑ	مویشیوں	4.77
پرس	بیگ	8.33
چھت	گرجا گھر	2.42
بین	کافی	5.15
لکڑی	کاغذ	2.88
اوپر	طرف	1.9
جرم	دھوکہ	5.65
درد	نقصان	5.38
عاشق	ساتھی	5.97
شام	دوپہر	7.78
باپ	بیٹی	2.62
شراب	شراب	7.85
گائے	بکری	2.93
یقین	رائے	7.7
حقیقت	برم	1.42
معاہدہ	معاہدہ	9.02
دولت	غربت	1.27
حادثہ	ایمرجنسی	4.93
جنگ	فتح	7.22
دوست	استاد	2.62
بیماری	انفیکشن	6.9
کھیل	چال	2.32
بھائی	بیٹا	3.48
چاچی	بھتیجے	3.1
کارکن	میکینک	4.92
ڈاکٹر	آرتھوڈونٹسٹ	5.58
اوک	میپل	6.03
مکھی	ملکہ	3.27
کار	سائیکل	3.47
مقصد	تلاش	5.83
اگست	مہینے	5.53
فوج	ٹیم	5.08
بادل	موسم	4.87
ڈاکٹر	ڈاکٹر	8.88
کینیا	وادی	6.75
دریا	وادی	1.67
سورج	آسمان	2.27
ہدف	تیر	3.25
چاکلیٹ	پائی	2.27
حالات	صورت حال	7.85
رائے	انتخاب	5.43
تال	مہودی	6.12
گٹ	اعصابی	4.93
دن	ڈان کی	5.47
مویشیوں	گوشت	7.03
ڈاکٹر	پروفیسر	4.65
بازو	رگ	3.65
کمرے	غسل	3.33
کارپوریشن	کاروبار	9.02
مزہ	فٹ بال	1.97
پہاڑی	کلف	4.28
ہڈی	ٹخن	3.82
سیب	کینڈی	2.08
مددگار	نوکرانی	5.58
رہنما	مینیجر	7.27
لیموں	چائے	1.6
مکھی	اینٹی	2.78
باسکٹ بال	بیس بال	4.92
چاول	بین	2.72
بستر	فرنیچر	6.08
جذبات	جذبہ	7.72
انتشار	افراتفری	7.93
جرم	خلاف ورزی	7.12
مشین	انجن	5.58
ساحل سمندر	سمندر	4.68
گلی	کٹورا	1.53
جار	بوتل	7.83
طاقت	صلاحیت	5.28
بیج	سرواں	3.48
گٹار	ڈھول	3.78
رائے	خیال	5.7
شمال	مغرب	3.63
غذا	ترکاریاں	2.98
ماں	بیوی	3.02
والد صاحب	ماں	3.55
کپتان	نااخت	5.0
میٹر	یارڈ	5.6
بیئر	شیمپین	4.45
موٹر	کشتی	2.57
کارڈ	پل	1.97
سائنس	نفسیات	4.92
گنہگار	سنت	1.6
تباہی	تعمیراتی	0.98
بھیڑ	گروپ	7.42
ساحل سمندر	ریف	3.77
آدمی	بچہ	4.13
روٹی	پنیر	1.95
چیمپئن	فاتح	8.73
جشن	تقریب	7.72
مینو	آرڈر	3.62
بادشاہ	شہزادی	3.27
دولت	وقار	6.07
برداشت	طاقت	6.58
خطرہ	خطرہ	8.78
خدا	پادری	4.5
مردوں	برادری	3.13
دوست	ساتھی	8.65
استاد	مددگار	4.28
جسم	پیٹ	3.93
زبان	حلق	3.1
گھر	قالین	1.38
انٹیلی جنس	مہارت	5.35
سفر	فتح	4.72
خدا	شکار	1.23
بھائی	روح	0.97
مخالف	مخالف	9.05
موت	تباہی	4.13
راکشس	راکشس	6.95
دن	صبح	4.87
آدمی	فاتح	1.9
دوست	لڑکے	3.88
نغمہ	کہانی	3.97
کرن	دھوپ	6.83
لڑکے	جڑنا	5.83
چکن	چاول	1.43
ڈبہ	لفٹ	1.32
مکھن	آلو	1.22
اپارٹمنٹ	فرنیچر	1.28
جھیل	دلدل	4.92
ترکاریاں	سرکہ	1.13
پھول	بلب	4.48
بادل	دوبد	6.67
ڈرائیور	پائلٹ	6.28
شکر	شہد	5.13
جسم	کندھے	2.88
خیال	تصویر	3.55
باپ	بھائی	4.2
چاند	سیارے	5.87
گیند	کپڑے	2.32
ریل	باڑ	5.22
کمرے	بستر	2.35
پھول	بش	4.25
ہڈی	گھٹنے	4.17
بازو	گھٹنے	2.75
نیچے	طرف	2.63
برتن	رگ	5.15
کیٹ	خرگوش	2.37
گوشت	سینڈوچ	2.35
یقین	تصور	5.08
انٹیلی جنس	بصیرت	5.9
توجہ	دلچسپی	7.22
رویہ	اعتماد	4.35
دائیں	انصاف	7.05
دلیل	معاہدہ	1.45
گہرائی	شدت	6.12
درمیانی	خبریں	3.65
فاتح	امیدوار	2.78
سالگرہ	تاریخ	5.08
فیس	ادائیگی	7.15
بائبل	حمد	5.15
باہر نکلیں	دروازے	5.5
آدمی	بھیجا	3.25
گلیارے	ہال	6.35
شراب	گن	6.28
خون	میرو	3.4
تیل	منک	1.23
فرش	ڈیک	5.55
چھت	فرش	2.62
دروازہ	فرش	1.67
کندھے	سر	3.42
وگن	گاڑی	7.7
کار	گاڑی	5.13
کہنی	ٹخن	3.13
دولت	شہرت	4.02
غم	شرمندگی	4.77
انتظامیہ	انتظام	7.25
مواصلات	بات چیت	8.02
آلودگی	ماحول	4.25
اناتومی	حیاتیات	5.33
کالج	پیشہ	3.12
کتاب	موضوع	2.07
فارمولہ	مساوات	7.95
کتاب	معلومات	5.0
لڑکا	شراکت دار	1.9
آسمان	کائنات	4.68
آبادی	لوگ	7.68
کالج	کلاس	4.13
چیف	میئر	4.85
ربیبی	وزیر	7.62
میٹر	انچ	5.08
پالئیےسٹر	کپاس	5.63
وکیل	بینکر	1.88
وایلن	آلے	6.58
کیمپ	کیبن	4.2
برتن	آلات	2.53
کپڑے	کپڑے	7.47
شراب	شیمپین	5.33
لڑکی	بچہ	5.38
کاٹیج	کیبن	7.72
پرندہ	ین	7.03
ریکیٹ	شور	8.1
غروب آفتاب	شام	5.98
بہاؤ	بارش	9.17
بالغ	بچه	2.22
چارکول	کوئلہ	7.63
جسم	ریڑھائی	4.78
سر	کیل	2.47
لاگ ان	لکڑی	8.05
چمچ	کپ	2.02
جسم	اعصابی	3.13
آدمی	شوہر	5.32
ہڈی	گردن	2.53
مایوسی	غصہ	6.5
دریا	سمندر	5.72
کام	ملازمت	8.87
کلب	سماج	5.23
عکس	تصویر	7.27
شہزادہ	بادشاہ	5.92
برف	موسم	5.48
لوگ	پارٹی	2.2
لڑکا	بھائی	6.67
جڑ	گھاس	3.55
برو	آنکھ	3.82
پیسہ	موتی	2.1
پیسہ	ہیرے	3.42
گاڑی	بس	6.47
ٹیکسی	بس	5.6
گھر	بنو	4.33
انگلی	کھجور	3.33
کار	پل	0.95
کوشش	مشکل	4.45
حقیقت	بصیرت	4.77
ملازمت	انتظام	3.97
کینسر	بیماری	7.93
لفظ	اخبار	2.47
موسیقار	مصنف	6.58
اداکار	گلوکار	4.52
پناہ گاہ	ہٹ	6.47
باتھ روم	باورچی خانه	3.1
کیبن	ہٹ	6.53
دروازہ	باورچی خانه	1.67
قدر	یقین	7.07
حکمت	انٹیلی جنس	7.47
جہالت	انٹیلی جنس	1.5
خوشی	قسمت	2.38
خیال	سکیم	6.75
موڈ	جذبات	8.12
خوشی	امن	6.03
نا امید	مصیبت	7.22
منطق	ریاضی	3.97
انکار	اقرار	1.03
دلیل	تنقید	5.08
جارحیت	دشمنیت	8.48
ہیسٹریا	الجھن	6.33
کیمسٹری	نظریہ	3.17
آزمائش	فیصلے	3.33
آرام	حفاظت	5.8
اعتماد	خود	3.12
اولین مقصد	خیال	6.88
دور	دہائی	5.4
جیونی	فکشن	1.38
بحث	دلیل	5.48
کوڈ	علامت	6.03
خطرہ	بیماری	3.0
حادثہ	تباہی	5.9
سفر	سفر	8.88
سرگرمی	تحریک	7.15
گپ شپ	خبریں	5.22
باپ	خدا	3.57
عمل	کورس	5.45
بخار	بیماری	7.65
ایوی ایشن	پرواز	8.18
کھیل	عمل	4.85
انو	ہوا	3.05
گھر	حالت	2.58
لفظ	ادب	4.77
بالغ	سرپرست	6.9
اخبار	معلومات	5.65
مواصلات	ٹیلی ویژن	5.6
کزن	چاچا	4.63
مصنف	ریڈر	1.6
لڑکے	شراکت دار	3.57
رقبہ	کونے	2.07
بلڈاد	نغمہ	7.53
دیوار	سجاوٹ	2.62
لفظ	صفحہ	2.92
نرس	سائنسدان	2.08
سیاست دان	صدر	7.38
صدر	میئر	5.68
کتاب	مضمون نویسی	4.72
آدمی	جنگجو	4.72
مضمون	جرنل	6.18
ناشتہ	کھانا	4.4
بھیڑ	پریڈ	3.93
گلیارے	دالان	6.75
استاد	ربیبی	4.37
ہپ	ہپ	1.43
کتاب	مضمون	5.43
کمرے	سیل	4.58
ڈبہ	بوٹ	3.8
بیٹی	بچہ	4.17
انگلی	ٹانگ	6.9
جگر	پھیپھڑوں	2.7
کلاس روم	دالان	2.0
پہاڑ	قیادت	3.73
کار	لفٹ	1.03
بستر	سوفی	3.42
کپڑے	بٹن	2.3
کپڑے	کوٹ	5.35
گردہ	عضو	6.17
سیب	چٹنی	1.43
چکن	سٹیک	3.73
کار	نلی	0.87
تمباکو	سگریٹ	7.5
طالب علم	پروفیسر	1.95
بچه	بیٹی	5.0
پائپ	سگریٹ	6.03
دودھ	رس	4.05
ڈبہ	سگریٹ	1.25
اپارٹمنٹ	ہوٹل	3.33
کپ	شنک	3.17
گھوڑے	بیل	3.02
حلق	ناک	2.8
ہڈی	دانت	4.17
ہڈی	کہنی	3.78
بیکن	بین	1.22
کپ	جار	5.13
ثبوت	حقیقت	7.3
تقرری	مصروفیت	6.75
سالگرہ	سال	1.67
لفظ	اشارہ	2.53
مصنف	خالق	8.02
ایٹم	کاربن	3.1
آرکائشی	بش	7.05
خط	پیراگراف	4.0
صفحہ	پیراگراف	3.03
کھڑی	چیپل	7.08
پٹھوں	ہڈی	3.65
پٹھوں	زبان	5.0
لڑکا	فوجی	2.15
پیٹ	پیٹ	8.13
لڑکے	لڑکی	3.33
بستر	کرسی	3.5
کپڑے	جیکٹ	5.15
بندوق	چاقو	3.65
ٹن	دھاتی	5.63
بوتل	کنٹینر	7.93
ین	ترکی	6.13
گوشت	روٹی	1.67
بازو	ہڈی	3.83
گردن	ریڑھائی	5.32
سیب	لیموں	4.05
پریشانی	غم	7.63
تفویض	کام	8.7
رات	ڈان کی	2.95
رات کا کھانا	سوپ	3.72
بچہ	بیل	4.93
برف	طوفان	4.8
کیل	ہاتھ	3.42
کتا	گھوڑے	2.38
بازو	گردن	1.58
گیند	دستانے	1.75
فلو	بخار	6.08
فیس	تنخواہ	3.72
اعصابی	دماغ	3.88
جانور	جانور	7.83
رات کا کھانا	چکن	2.85
لڑکی	نوکرانی	2.93
بچہ	لڑکا	5.75
شراب	شراب	7.42
ناک	منہ	3.73
سڑک	کار	2.38
گھنٹی	دروازہ	2.2
ڈبہ	ٹوپی	1.3
یقین	تاثر	5.95
تعصب	رائے	5.6
توجہ	شعور	8.73
غصہ	موڈ	4.1
خوبصورتی	انداز	5.72
خوبصورتی	عمر	1.58
کتاب	خیالیہ	2.58
دوست	ماں	2.53
وٹامن	لوہے	5.55
کار	فیکٹری	2.75
معاہدہ	حالت	2.45
باب	انتخاب	0.48
ریاضی	تال	2.35
فاتح	موجودگی	1.08
یقین	پھول	0.4
فاتح	مقصد	3.23
چال	سائز	0.48
انتخاب	رگ	0.98
حمد	فتح	0.68
برداشت	بینڈ	0.4
جیل	انتخاب	1.08
حالت	لڑکا	0.48
پھول	برداشت	0.4
سوراخ	معاہدہ	0.3
ڈاکٹر	مزاج	0.48
برادری	دروازہ	0.68
کام	عورت	0.68
برادری	بیس بال	0.88
سینٹ	سائز	0.4
موجودگی	دروازہ	0.48
ماؤس	انتظام	0.48
کام	ہائی وے	0.48
شراب	صدی	0.4
کام	اسٹرک	0.68
جزیرہ	کام	0.3
رات	باب	0.48
آلودگی	صدر	0.68
بندوق	چال	0.48
غسل	چال	0.58
غذا	سیب	1.18
سینٹ	بیوی	0.58
باب	دم	0.3
کورس	پیٹ	0.58
حمد	اسٹرک	0.4
دانتوں کا ڈاکٹر	کالونی	0.4
بیوی	اسٹرک	0.4
سوراخ	بیوی	0.68
طالب علم	صدر	0.78
غسل	بیوی	0.48
لوگ	سینٹ	0.48
فارمولہ	لاگ ان	1.77
عورت	فر	0.58
سیب	دھوپ	0.58
بندوق	ڈان کی	1.18
کھانا	کمر	0.98
کیمرے	صدر	0.48
شراب	بینڈ	0.68
پیٹ	رگ	2.35
بندوق	فر	0.3
سوفی	بیس بال	0.88
کارکن	کیمرے	0.68
ڈیک	ماؤس	0.48
چاول	لڑکا	0.4
لوگ	بندوق	0.68
کلف	دم	0.3
ٹخن	ونڈو	0.3
شہزادی	جزیرہ	0.3
کنٹینر	ماؤس	0.3
وگن	کنٹینر	2.65
لوگ	بیلون	0.48
ڈالر	لوگ	0.4
غسل	بیلون	0.4
پیٹ	بیڈروم	0.4
سائیکل	بیڈروم	0.4
لاگ ان	غسل	0.4
کٹورا	دم	0.48
جاؤ	آو	2.42
لے لو	چوری	6.18
سننا	سننا	8.17
سوچنا	منطقی	8.25
واقع	ہو	9.32
غائب	غائب ہو	9.8
ضرب	تقسیم	1.75
درخواست	بھگوان	9.08
شروع	ابتداء	8.2
حفاظت	دفاع	9.13
قتل کرو	تباہ	5.9
بنانا	بناؤ	8.72
قبول	رد	0.83
نظر انداز	پرہیز	6.87
لے لو	لانے	5.8
چھوڑ	درج	0.95
منتخب	چننا	7.62
کھو	ناکام	7.33
حوصلہ افزائی	دل شکستہ	1.58
حاصل	پورا	8.57
بناؤ	تعمیر	8.33
سننا	اطاعت	4.93
مطلع	مطلع	9.25
وصول	دے	1.47
قرض	مانگنا	2.62
لے لو	حاصل	7.1
مشورہ	تجویز	8.1
نقل	بیان	6.75
جیت	کامیاب	7.9
سوچنا	فیصلہ	5.13
سلام	ملیں	6.17
متفق	بحث	0.77
لطف اندوز	تفریح	5.92
تباہ	بناؤ	1.6
بچاؤ	حفاظت	6.58
دے دو	قرض دو	7.22
سمجھو	پتہ	7.47
لے لو	وصول کریں	5.08
قبول کرو	تسلیم کرتے ہیں	6.88
فیصلہ کرنا	منتخب کریں	8.87
قبول کرو	یقین	6.75
رکھو	مالک	8.27
روام	گھومنا	8.83
کامیاب	ناکام	0.83
خرچ کرو	بچاؤ	0.55
چھوڑ دو	جاؤ	7.63
آو	حاضری	8.1
پتہ	یقین	5.5
جمع	ملیں	7.3
بناؤ	کماتے	7.62
بھول جاؤ	نظر انداز	3.07
ضرب	شامل	2.7
سکڑیں	بڑھو	0.23
آو	چھوڑ دو	1.33
کامیاب	کوشش	3.98
قبول کرو	انکار	1.75
آو	آو	7.05
متفق ہوں	مختلف	1.05
بھیجیں	وصول	1.08
جیت	غلبہ	5.68
شامل	تقسیم	2.3
قتل	گلا گھونٹنا	4.92
حاصل	حاصل	8.82
حصہ لیں	شامل	7.7
چھوڑ دو	رہیں	2.53
جاؤ	درج	4.0
لے لو	لے لو	5.23
بھول جاؤ	سیکھنا	1.18
مقرر کریں	چننا	8.17
مشغول	شادی کرو	5.43
پوچھو	دعا کرو	3.72
جاؤ	بھیجیں	3.75
لے لو	فراہم کرو	4.37
بات کرو	سننا	3.02
تجزیہ کریں	اندازہ	8.03
بحث کریں	منطقی	4.2
کھو	رکھو	1.05
موازنہ کریں	تجزیہ کریں	8.1
غیر منظم	منظم	1.45
جاؤ	اجازت دیں	3.62
لے لو	مالک	7.2
سیکھنا	سننا	3.88
تباہ	تعمیر	0.92
بنانا	تعمیر کرو	8.48
چوری	خریدنے	1.13
قتل کرو	پھانسی	4.45
بھول جاؤ	پتہ	0.92
بنانا	تصور	5.13
کیا	ہو	4.23
جیت	پورا	7.85
دے دو	انکار	1.43
مستحق	کماتے ہیں	5.8
حاصل کرو	ڈالیں	1.98
تلاش کریں	مل	8.73
ظاہر	حاضری	6.28
پتہ	سمجھو	7.63
دکھاؤ	تصور	8.47
مطمئن	براہ کرم	7.67
چیری	رکھو	4.85
بحث کریں	مختلف	5.15
پر قابو پانے	غلبہ	6.25
سلوک کرنا	اطاعت کرو	7.3
تعاون کریں	حصہ لیں	6.43
حاصل کریں	کوشش کریں	4.42
ناکام	ہراساں کرنا	3.33
شروع کرو	چھوڑ دو	1.28
کہہ دو	حصہ لیں	3.82
آو	لانے	2.42
اعلان کریں	اعلان کریں	9.08
پڑھو	سمجھو	4.7
لے لو	چھوڑ دو	2.47
اعلان کرو	اعلان کریں	8.18
حاصل	حاصل کریں	8.57
اختتام کریں	فیصلہ کرنا	7.75
براہ کرم	درخواست	2.98
بحث کریں	ثابت کرو	4.83
پوچھو	درخواست	6.47
مل	غائب ہو	0.77
معائنہ	جانچ پڑتال کریں	8.75
تصدیق کریں	مستحق	4.08
فرض کرو	پیش گوئی	4.85
سیکھنا	اندازہ	4.17
بحث کریں	مستحق	5.0
بناؤ	بن	4.77
دریافت	ابتداء	4.83
حاصل کریں	کامیاب	7.5
دے دو	ڈالیں	3.65
سمجھو	سننا	4.68
توسیع	بڑھو	8.27
قرض لے	فروخت	1.73
رکھو	حفاظت کرو	5.4
وضاحت کریں	ثابت کرو	4.1
فرض کرو	دکھاؤ	3.72
متفق ہوں	براہ کرم	4.13
معاف کر دو	بھول جاؤ	3.92
واضح	وضاحت کریں	8.33
سمجھو	معاف کر دو	4.87
یاد رکھیں	بھول جاؤ	0.87
حاصل کرو	رہیں	1.6
احساس	دریافت	7.47
ضرورت ہے	پوچھ گچھ	1.82
نظر انداز	پوچھو	1.07
سوچنا	پوچھ گچھ	4.77
رد کرنا	سے بچیں	4.78
بحث کریں	رضاکارانہ	6.23
پیچھا کرنا	رضاکارانہ	3.17
قبول کرو	معاف کر دو	3.73
کیا	چھوڑ دو	1.17
تحقیقات	جانچ پڑتال کریں	8.1
بحث کریں	وضاحت کریں	6.67
الوداع	قرض دو	2.32
تلاش کریں	دریافت	8.48
شکایت	بحث کریں	4.8
واپس لے لو	رد کرنا	6.38
رکھو	قرض لے	2.25
بھگوان	پوچھو	6.0
بندوبست کریں	منظم	8.27
کم	سکڑیں	8.02
بات کرو	تسلیم کرتے ہیں	4.67
دے دو	قرض لے	2.22
قتل کرو	دفاع کرو	2.63
