word1	word1-translated	word2	word2-translated	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
weird	عجیب	normal	عام	A	0.72	1.59	1.4	1	0.76	1	1.15
weird	عجیب	odd	طاق	A	9.2	1.59	1.7	1	0.75	1	1.27
bad	برا	immoral	غیر اخلاقی	A	7.62	1.68	1.59	1	0.74	1	0.98
sad	اداس	funny	مضحکہ خیز	A	0.95	3.07	2.5	2	0.74	1	1.28
wonderful	حیرت انگیز	great	زبردست	A	8.05	1.82	1.81	1	0.7	1	1.05
guilty	مجرم	ashamed	شرمندہ	A	6.38	2.36	1.74	1	0.69	1	0.47
beautiful	خوبصورت	wonderful	حیرت انگیز	A	6.5	2.16	1.82	1	0.68	1	0.85
confident	اعتماد	sure	یقیناً	A	8.27	2.62	1.73	1	0.68	1	1.21
dumb	گونگا	dense	گھنے	A	7.27	2.36	3.14	2	0.68	1	0.43
large	بڑی	big	بڑا	A	9.55	3.37	3.66	2	0.68	1	0.44
nice	اچھا	cruel	ظالمانہ	A	0.67	2.18	2.11	1	0.49	1	1.53
impatient	بے حد	anxious	فکر مند	A	6.03	2.38	1.68	1	0.47	1	1.22
big	بڑا	broad	وسیع	A	6.73	3.66	2.45	2	0.47	1	1.68
strong	مضبوط	proud	مغرور	A	3.17	3.14	2.07	2	0.42	0	1.46
unnecessary	غیر ضروری	necessary	ضروری 	A	0.63	1.56	1.8	1	0.41	0	0.61
restless	بے حد	young	نوجوان	A	1.6	2.46	3.16	2	0.41	0	0.85
dumb	گونگا	intelligent	ذہین	A	0.75	2.36	2.46	1	0.37	0	1.5
bad	برا	great	زبردست	A	0.35	1.68	1.81	1	0.35	0	1.49
difficult	مشکل	simple	سادہ	A	0.87	2.21	1.62	1	0.34	0	0.44
necessary	ضروری 	important	اہم 	A	7.37	1.8	2.14	1	0.34	0	1.36
bad	برا	terrific	خوفناک	A	0.65	1.68	2.07	1	0.28	0	1.43
mad	پاگل	glad	خوش	A	1.45	2.76	2.36	1	0.28	0	1.17
honest	ایماندار	guilty	مجرم	A	1.18	1.66	2.36	1	0.27	0	1.68
easy	آسان	tough	مشکل	A	0.52	2.07	2.5	1	0.27	0	1.87
easy	آسان	flexible	لچکدار	A	4.1	2.07	2.64	1	0.27	0	1.08
certain	کچھ	sure	یقین ہے	A	8.42	1.68	1.73	1	0.23	0	1.29
essential	ضروری	necessary	ضروری	A	8.97	1.52	1.8	1	0.21	0	1.11
different	مختلف	normal	عام	A	1.08	1.97	1.4	1	0.21	0	1.75
sly	مہلک	clever	ہوشیار	A	7.25	2.03	1.79	1	0.21	0	1.41
crucial	اہم	important	اہم	A	8.82	2.08	2.14	1	0.21	0	1.25
harsh	سخت	cruel	ظالمانہ	A	8.18	2.23	2.11	1	0.21	0	1.66
childish	بچپن	foolish	بیوقوف	A	5.5	2.52	1.84	1	0.21	0	1.45
scarce	کمر	rare	نایاب	A	9.17	2.57	1.96	1	0.21	0	1.21
friendly	دوستانہ	generous	بے لوث	A	5.9	2.32	2.25	1	0.21	0	0.6
fragile	خراب	frigid	فریب	A	2.38	2.86	3.28	2	0.21	0	0.84
long	طویل	narrow	تنگ	A	3.57	3.18	3.04	2	0.21	0	1.62
big	بڑا	heavy	بھاری	A	6.18	3.66	3.37	2	0.21	0	1.54
rough	کهردرا	frigid	فریب	A	2.47	3.83	3.28	2	0.21	0	1.37
bizarre	عجیب	strange	عجیب	A	9.37	1.79	1.86	1	0.2	0	1.54
illegal	غیر قانونی	immoral	غیر اخلاقی	A	4.28	2.37	1.59	1	0.2	0	1.57
bad	برا	guilty	مجرم	A	4.2	1.68	2.36	1	0.2	0	1.47
modern	جدید	ancient	قدیم	A	0.73	2.31	2.04	1	0.2	0	0.71
new	نئی	ancient	قدیم	A	0.23	2.81	2.04	1	0.2	0	0.46
dull	سست	funny	مضحکہ خیز	A	0.55	2.37	2.5	1	0.2	0	1.76
happy	خوش	young	نوجوان	A	2	2.56	3.16	2	0.2	0	0.47
easy	آسان	big	بڑا	A	1.12	2.07	3.66	2	0.2	0	1.22
great	زبردست	awful	خوفناک	A	1.17	1.81	1.92	1	0.15	0	1.53
tiny	چھوٹے	huge	بہت بڑا	A	0.6	3.11	3.54	2	0.15	0	0.59
polite	شائستہ	proper	مناسب	A	7.63	1.85	1.78	1	0.14	0	1.42
modest	معمولی	ashamed	شرمندہ	A	2.65	2.21	1.74	1	0.14	0	1
exotic	غیر ملکی	rare	نایاب	A	8.05	2.11	1.96	1	0.14	0	0.93
dumb	گونگا	clever	ہوشیار	A	1.17	2.36	1.79	1	0.14	0	1.3
delightful	خوشگوار	wonderful	حیرت انگیز	A	8.65	2.38	1.82	1	0.14	0	1.29
noticeable	قابل ذکر	obvious	واضح	A	8.48	2.29	2.07	1	0.14	0	1.69
afraid	ڈر	anxious	فکر مند	A	5.07	2.7	1.68	1	0.14	0	1.28
formal	رسمی	proper	مناسب	A	8.02	2.7	1.78	1	0.14	0	1.31
dreary	ڈریری	dull	سست	A	8.25	2.33	2.37	1	0.14	0	1.85
delightful	خوشگوار	cheerful	خوشگوار	A	6.58	2.38	2.34	1	0.14	0	1.56
unhappy	ناخوش	mad	پاگل	A	5.95	2.04	2.76	1	0.14	0	1.36
sad	اداس	terrible	خوفناک	A	5.4	3.07	2.04	1	0.14	0	0.44
sick	بیمار	crazy	پاگل	A	3.57	2.97	2.37	2	0.14	0	0.95
violent	پرتشدد	angry	ناراض	A	6.98	3.1	2.53	2	0.14	0	1.55
laden	لادن	heavy	بھاری	A	5.9	2.96	3.37	2	0.14	0	1.28
dirty	گندی	cheap	سستا	A	1.6	4.23	2.11	2	0.14	0	1.1
elastic	لچکدار	flexible	لچکدار	A	7.78	3.73	2.64	2	0.14	0	1.09
hard	سخت	dense	گھنے	A	5.9	3.76	3.14	2	0.14	0	1
recent	حال ہی میں	new	نئی	A	7.05	2.5	2.81	2	0.13	0	1.05
bold	جرات مندانہ	proud	فخر	A	3.97	2.43	2.07	1	0.12	0	1.36
sly	مہلک	strange	عجیب	A	1.97	2.03	1.86	1	0	0	1.07
strange	عجیب	sly	مہلک	A	2.07	1.86	2.03	1	0	0	0.51
dumb	گونگا	rare	نایاب	A	0.48	2.36	1.96	1	0	0	1.55
sly	مہلک	tough	مشکل	A	0.58	2.03	2.5	1	0	0	1.01
terrific	خوفناک	mad	پاگل	A	0.4	2.07	2.76	1	0	0	0.86
modest	معمولی	flexible	لچکدار	A	0.98	2.21	2.64	1	0	0	1.89
fresh	تازه	wide	وسیع	A	0.4	1.97	3.06	1	0	0	1.41
huge	بہت بڑا	dumb	گونگا	A	0.48	3.54	2.36	2	0	0	0.91
large	بڑی	flexible	لچکدار	A	0.48	3.37	2.64	2	0	0	1.59
dirty	گندی	narrow	تنگ	A	0.3	4.23	3.04	2	0	0	0.89
wife	بیوی	husband	شوہر	N	2.3	4.13	4.11	3	8.85	1	0.84
book	کتاب	text	متن	N	6.35	4.9	4.93	4	8.81	1	1.43
groom	دولہا	bride	دلہن	N	3.17	4.54	4.63	3	8.65	1	0.68
night	رات	day	دن	N	1.88	4.52	3.92	3	8.19	1	1.17
south	جنوب	north	شمال	N	2.2	3.84	4.14	3	7.72	1	0.59
plane	ہوائی جہاز	airport	ہوائی اڈے	N	3.65	4.92	4.87	4	7.57	1	1.07
uncle	چاچا	aunt	چاچی	N	5.5	4.24	4.17	3	7.46	1	1.63
horse	گھوڑے	mare	ہمارا	N	8.33	5	4.75	4	7.4	1	0.73
bottom	نیچے	top	اوپر	N	0.7	4.25	3.93	3	6.96	1	1.16
friend	دوست	buddy	دوست	N	8.78	3.07	3.48	2	6.87	1	0.93
student	طالب علم	pupil	طالب علم	N	9.35	4.92	4.55	3	6.83	1	1.11
world	دنیا	globe	دنیا	N	6.67	4.36	4.59	3	6.79	1	0.67
leg	ٹانگ	arm	بازو	N	2.88	4.83	4.96	4	6.73	1	0.79
plane	ہوائی جہاز	jet	جیٹ	N	8.1	4.92	4.77	4	6.62	1	1.24
woman	عورت	man	آدمی	N	3.33	4.46	4.79	3	6.6	1	1.42
horse	گھوڑے	colt	کالٹ	N	7.07	5	4.96	4	6.54	1	0.84
actress	اداکارہ	actor	اداکار	N	7.12	4.54	4.57	3	5.78	1	1.3
teacher	استاد	instructor	انسٹرکٹر	N	9.25	4.52	4.26	3	5.66	1	1.53
movie	فلم	film	فلم	N	8.87	4.59	4.71	3	5.43	1	1.72
bird	پرندہ	hawk	ہاک	N	7.85	5	4.93	4	5.29	1	0.91
word	لفظ	dictionary	لغت	N	3.68	3.56	4.62	3	5.2	1	1.56
money	پیسہ	salary	تنخواہ	N	7.88	4.54	3.69	3	5.16	1	1.11
dog	کتا	cat	کیٹ	N	1.75	4.85	4.86	4	5.13	1	1.3
area	رقبہ	region	خطے	N	9.47	3.72	3.19	2	5.12	1	0.58
navy	بحریہ	army	فوج	N	6.43	3.93	4.7	3	5	1	0.53
book	کتاب	literature	ادب	N	7.53	4.9	4.1	3	4.86	1	0.45
clothes	کپڑے	closet	الماری	N	3.27	4.76	4.83	4	4.83	1	1.29
sunset	غروب آفتاب	sunrise	طلوع آفتاب	N	2.47	4.54	4.69	3	4.8	1	1.12
child	بچہ	adult	بالغ	N	2.98	4.78	4.4	3	4.59	1	1.48
cow	گائے	cattle	مویشیوں	N	9.52	4.96	4.64	4	4.39	1	0.79
book	کتاب	story	کہانی	N	5.63	4.9	3.3	3	4.19	1	0.78
winter	موسم سرما	summer	موسم گرما	N	2.38	3.84	3.64	3	3.96	1	0.47
taxi	ٹیکسی	cab	ٹیکسی	N	9.2	4.93	4.88	4	3.86	1	1.23
tree	درخت	maple	میپل	N	5.53	5	4.46	3	3.67	1	1.19
bed	بستر	bedroom	بیڈروم	N	3.4	5	4.9	4	3.53	1	1.25
roof	چھت	ceiling	چھت	N	7.58	4.79	4.85	4	3.5	1	0.77
disease	بیماری	infection	انفیکشن	N	7.15	3.45	4.1	3	3.45	1	1.08
arm	بازو	shoulder	کندھے	N	4.85	4.96	4.93	4	3.35	1	1.81
sheep	بھیڑ	lamb	میمنے	N	8.42	4.9	4.97	4	3.33	1	1.51
lady	خاتون	gentleman	سلیمان	N	3.42	4.33	3.57	3	3.29	1	1.08
boat	کشتی	anchor	لنگر	N	2.25	4.93	4.77	4	3.25	1	1.1
priest	پادری	monk	بندر	N	6.28	4.77	4.35	3	3.23	1	0.61
toe	پیر	finger	انگلی	N	4.68	4.93	5	4	3.22	1	0.55
river	دریا	stream	ندی	N	7.3	4.89	4.5	3	3.21	1	0.81
anger	غصہ	fury	غصہ	N	8.73	2.41	2.89	2	3.06	1	1.89
date	تاریخ	calendar	کیلنڈر	N	4.42	3.9	4.62	3	3.05	1	1.5
sea	سمندر	ocean	سمندر	N	8.27	4.79	4.86	4	2.91	1	1.3
second	دوسرا	minute	منٹ	N	4.62	3.3	3.04	2	2.84	1	1.15
hand	ہاتھ	thumb	انگوٹھے	N	3.88	4.72	4.96	4	2.84	1	0.44
wood	لکڑی	log	لاگ ان	N	7.3	4.85	4.96	4	2.79	1	0.87
mud	مٹی	dirt	گندگی	N	7.32	4.86	4.86	4	2.76	1	0.48
hallway	دالان	corridor	راہداری	N	9.28	4.74	4.72	3	2.7	1	0.76
way	راستہ	manner	انداز	N	7.62	2.34	1.62	1	2.56	1	0.44
mouse	ماؤس	cat	کیٹ	N	1.12	4.83	4.86	4	2.56	1	1.02
cop	پولیس	sheriff	شیرف	N	9.05	4.3	4.5	3	2.54	1	1.55
death	موت	burial	دفن	N	4.93	3.73	3.93	3	2.46	1	1.88
music	موسیقی	melody	مہودی	N	6.98	4.31	3.71	3	2.43	1	1.36
beer	بیئر	alcohol	شراب	N	7.5	4.88	4.76	4	2.4	1	1.07
mouth	منہ	lip	ہپ	N	7.1	4.74	4.96	4	2.28	1	1.4
storm	طوفان	hurricane	طوفان	N	6.38	4.7	4.59	3	2.27	1	0.9
tax	ٹیکس	income	آمدنی	N	2.38	3.89	3.07	2	2.25	1	1.15
flower	پھول	violet	وایلیٹ	N	6.95	5	4.48	4	2.22	1	1.72
paper	کاغذ	cardboard	گتے	N	5.38	4.93	4.9	4	2.2	1	1.22
floor	فرش	ceiling	چھت	N	1.73	4.8	4.85	4	2.18	1	0.97
beach	ساحل سمندر	seashore	سمندر	N	8.33	4.79	4.63	3	2.15	1	0.47
rod	چھڑی	curtain	پردے	N	3.03	4.43	4.82	3	2.13	1	0.39
hound	ہاؤنڈ	fox	لومڑی	N	2.38	4.48	4.97	3	2.13	1	1.36
street	سڑک	alley	گلی	N	5.48	4.75	4.82	4	2.07	1	1.62
boat	کشتی	deck	ڈیک	N	4.28	4.93	4.77	4	2.04	1	1.39
car	کار	horn	سینگ	N	2.57	4.89	5	4	2.04	1	0.79
friend	دوست	guest	مہمان	N	4.25	3.07	3.83	2	1.97	1	1.41
employer	آجر	employee	ملازم	N	3.65	3.81	4.1	3	1.96	1	0.95
hand	ہاتھ	wrist	کلائی	N	3.97	4.72	4.93	4	1.96	1	1.32
ball	گیند	cannon	تپ	N	2.58	5	4.79	4	1.96	1	1.82
alcohol	شراب	brandy	برینڈی	N	6.98	4.76	4.81	4	1.93	1	0.57
victory	فتح	triumph	فتح	N	8.98	2.55	2.17	1	1.9	1	0.94
telephone	ٹیلی فون	booth	بوٹ	N	3.63	4.96	4.42	3	1.88	1	1.1
door	دروازہ	doorway	راہ گزر	N	5.4	4.81	4.75	4	1.88	1	1.86
motel	موٹل	inn	سرائے	N	8.17	4.93	4.64	4	1.86	1	0.39
clothes	کپڑے	cloth	کپڑا	N	5.47	4.76	4.9	4	1.82	1	1.43
steak	سٹیک	meat	گوشت	N	7.47	4.96	4.9	4	1.81	1	1.34
nail	کیل	thumb	انگوٹھے	N	3.55	4.93	4.96	4	1.76	1	1.16
band	بینڈ	orchestra	آرکسٹرا	N	7.08	4.68	4.79	4	1.75	1	1.36
book	کتاب	bible	بائبل	N	5	4.9	4.61	4	1.74	1	1.43
business	کاروبار	industry	صنعت	N	7.02	3.28	3.29	2	1.73	1	1.1
winter	موسم سرما	season	موسم	N	6.27	3.84	3.32	2	1.71	1	1.76
decade	دہائی	century	صدی	N	3.48	3.19	2.83	2	1.64	1	1.36
alcohol	شراب	gin	گن	N	8.65	4.76	4.46	3	1.64	1	1.17
hat	ٹوپی	coat	کوٹ	N	2.67	4.88	4.97	4	1.62	1	1.76
window	ونڈو	door	دروازہ	N	3.33	4.86	4.81	4	1.56	1	1.6
arm	بازو	wrist	کلائی	N	3.57	4.96	4.93	4	1.55	1	1.33
house	گھر	apartment	اپارٹمنٹ	N	5.8	5	4.9	4	1.54	1	1.4
glass	گلاس	crystal	کرسٹل	N	6.27	4.82	4.58	3	1.52	1	1.48
wine	شراب	brandy	برینڈی	N	5.15	4.79	4.81	4	1.52	1	1.67
creator	خالق	maker	بنانے والا	N	9.62	3.07	3.9	2	1.51	1	1.4
dinner	رات کا کھانا	breakfast	ناشتہ	N	3.33	4.5	4.43	3	1.49	1	1.72
arm	بازو	muscle	پٹھوں	N	3.72	4.96	4.5	3	1.45	1	0.83
bubble	بلبلا	suds	سوڈ	N	8.57	4.6	4.59	3	1.42	1	1.59
bread	روٹی	flour	آٹا	N	3.33	4.92	4.97	4	1.42	1	1.25
death	موت	tragedy	سانحہ	N	5.8	3.73	2.07	2	1.41	1	1.13
absence	عدم موجودگی	presence	موجودگی	N	0.4	2.31	2.72	1	1.38	1	1.5
gun	بندوق	cannon	تپ	N	5.68	4.83	4.79	4	1.35	1	1.56
grass	گھاس	blade	بلیڈ	N	4.57	4.93	4.93	4	1.34	1	1.53
ball	گیند	basket	ٹوکری	N	1.67	5	5	4	1.33	1	1.08
hose	نلی	garden	باغ	N	1.67	4.87	4.73	4	1.32	1	1.1
boy	لڑکا	kid	بچہ	N	7.5	4.76	4.56	3	1.28	1	1.44
church	چرچ	choir	کوائر	N	2.95	4.9	4.34	3	1.27	1	1.43
clothes	کپڑے	drawer	دراج	N	3.02	4.76	4.67	3	1.27	1	1.49
tower	ٹاور	bell	گھنٹی	N	1.9	4.76	4.96	4	1.22	1	1.41
father	باپ	parent	والدین	N	7.07	4.52	4.56	3	1.19	1	1.06
school	اسکول	grade	گریڈ	N	4.42	4.79	3	3	1.18	1	1.32
parent	والدین	adult	بالغ	N	5.37	4.56	4.4	3	1.15	1	1.6
bar	بار	jail	جیل	N	1.9	4.67	4.83	4	1.15	1	1.12
car	کار	highway	ہائی وے	N	3.4	4.89	4.72	4	1.15	1	1.77
dictionary	لغت	definition	تعریف	N	6.25	4.62	3.07	3	1.14	1	1.06
door	دروازہ	cellar	سیلار	N	1.97	4.81	4.68	4	1.13	1	1.47
army	فوج	legion	بڑا لشکر	N	5.95	4.7	2.69	2	1.11	1	1.29
metal	دھاتی	aluminum	ایلومینیم	N	7.25	4.87	4.88	4	1.1	1	1.76
chair	کرسی	bench	بینچ	N	6.67	4.58	4.87	3	1.09	1	1.22
cloud	بادل	fog	دھند	N	6	4.54	4.66	3	1.05	1	1.04
boy	لڑکا	son	بیٹا	N	6.75	4.76	4.14	3	1.03	1	0.88
water	پانی	ice	برف	N	6.47	5	4.89	4	1.03	1	1.66
bed	بستر	blanket	کمبل	N	3.02	5	5	4	1.02	1	1.48
attorney	اٹارنی	lawyer	وکیل	N	9.35	4.52	4.7	3	1.01	1	1.4
area	رقبہ	zone	زون	N	8.33	3.72	3.07	2	0.97	1	0.89
business	کاروبار	company	کمپنی	N	9.02	3.28	4.11	3	0.97	1	0.47
clothes	کپڑے	fabric	کپڑے	N	5.87	4.76	4.63	3	0.96	1	1.66
sweater	سویٹر	jacket	جیکٹ	N	7.15	4.78	4.86	4	0.96	1	1.13
money	پیسہ	capital	دارالحکومت	N	6.67	4.54	4.1	3	0.95	1	0.97
hand	ہاتھ	foot	پاؤں	N	4.17	4.72	4.9	4	0.95	1	1.41
alcohol	شراب	cocktail	کاکلا	N	6.73	4.76	4.4	3	0.93	1	1.2
yard	یارڈ	inch	انچ	N	3.78	4.82	4.37	3	0.93	1	1.4
molecule	انو	atom	ایٹم	N	6.45	3.27	3.34	2	0.92	1	1.56
lens	لینس	camera	کیمرے	N	4.28	4.64	5	4	0.9	1	1.89
meal	کھانا	dinner	رات کا کھانا	N	7.15	4.62	4.5	3	0.88	1	2
eye	آنکھ	tear	آنسو	N	3.55	4.9	4.56	3	0.88	1	1.48
god	خدا	devil	شیطان	N	1.8	2.07	3.41	2	0.87	1	1.1
loop	لوپ	belt	بیلٹ	N	3.1	4.26	4.9	3	0.87	1	1.74
rat	چوہا	mouse	ماؤس	N	7.78	4.85	4.83	4	0.87	1	0.93
motor	موٹر	engine	انجن	N	8.65	4.84	4.86	4	0.87	1	1.47
car	کار	cab	ٹیکسی	N	7.42	4.89	4.88	4	0.87	1	1.15
cat	کیٹ	lion	شیر	N	6.75	4.86	4.96	4	0.85	1	0.84
size	سائز	magnitude	شدت	N	6.33	3.13	2.43	2	0.84	1	0.59
reality	حقیقت	fantasy	تصور	N	1.03	1.72	1.59	1	0.83	1	0.89
door	دروازہ	gate	دروازہ	N	5.25	4.81	4.96	4	0.83	1	1.47
cat	کیٹ	pet	پالتو جانور	N	5.95	4.86	4.71	4	0.82	1	1.41
tin	ٹن	aluminum	ایلومینیم	N	6.42	4.87	4.88	4	0.82	1	1.3
bone	ہڈی	jaw	جبڑے	N	4.17	4.9	4.87	4	0.82	1	0.44
cereal	اناج	wheat	گندم	N	3.75	4.83	4.89	4	0.81	1	1.72
house	گھر	key	کلیدی	N	1.9	5	4.89	4	0.8	1	1.09
blood	خون	flesh	گوشت	N	4.28	4.86	4.59	3	0.79	1	1.74
door	دروازہ	corridor	راہداری	N	3.73	4.81	4.72	4	0.79	1	1.11
god	خدا	spirit	روح	N	7.3	2.07	1.6	1	0.77	1	1.63
capability	صلاحیت	competence	صلاحیت	N	7.62	1.93	1.78	1	0.77	1	0.84
abundance	کثرت	plenty	کافی	N	8.97	2.21	2.39	1	0.77	1	1.02
sofa	سوفا	chair	کرسی	N	6.67	4.9	4.58	4	0.77	1	1.56
wall	دیوار	brick	اینٹوں	N	4.68	4.86	4.83	4	0.77	1	1.16
horn	سینگ	drum	ڈھول	N	2.68	5	4.96	4	0.77	1	0.47
organ	عضو	liver	جگر	N	6.15	4.77	4.68	3	0.76	1	1.12
strength	طاقت	might	شاید	N	7.07	2.96	2.32	2	0.74	1	0.8
phrase	جملہ	word	لفظ	N	5.48	2.86	3.56	2	0.74	1	1.73
band	بینڈ	parade	پریڈ	N	3.92	4.68	4.54	3	0.74	1	1.74
stomach	پیٹ	waist	کمر	N	5.9	4.89	4.72	4	0.74	1	1.49
cloud	بادل	storm	طوفان	N	5.6	4.54	4.7	3	0.73	1	1.47
joy	خوشی	pride	فخر	N	5	2.37	1.66	1	0.72	1	0.9
noise	شور	rattle	گھبراہٹ	N	6.17	3.52	4.07	3	0.72	1	1.33
rain	بارش	mist	دوبد	N	5.97	4.97	4.51	4	0.71	1	1.83
beer	بیئر	beverage	مشروبات	N	5.42	4.88	4.6	4	0.71	1	1.34
man	آدمی	uncle	چاچا	N	3.92	4.79	4.24	3	0.7	1	1.36
apple	سیب	juice	رس	N	2.88	5	4.89	4	0.7	1	1.65
intelligence	انٹیلی جنس	logic	منطق	N	6.5	2.24	1.72	1	0.68	1	1.2
communication	مواصلات	language	زبان	N	7.47	2.9	2.35	2	0.68	1	1.09
mink	منک	fur	فر	N	6.83	4.58	4.69	3	0.68	1	0.39
mob	موک	crowd	بھیڑ	N	7.85	3.88	4.52	3	0.67	1	1.2
shore	ساحل	coast	ساحل	N	8.83	4.79	4.21	3	0.67	1	1.53
wire	تار	cord	ہڈی	N	7.62	4.72	4.63	3	0.67	1	1.35
bird	پرندہ	turkey	ترکی	N	6.58	5	4.89	4	0.67	1	1.6
bed	بستر	crib	کیڑے	N	7.3	5	4.86	4	0.65	1	1.56
competence	صلاحیت	ability	صلاحیت	N	7.5	1.78	1.81	1	0.63	1	0.6
cloud	بادل	haze	بھولبلییا	N	7.32	4.54	4.04	3	0.63	1	1.68
supper	کھانا	meal	کھانا	N	7.53	4.63	4.62	3	0.63	1	0.47
bar	بار	cage	پنجرا	N	2.8	4.67	5	4	0.63	1	0.51
water	پانی	salt	نمک	N	1.3	5	4.89	4	0.63	1	0.94
sense	احساس	intuition	انضمام	N	7.68	2.61	1.67	1	0.62	1	1.24
situation	صورت حال	condition	حالت	N	6.58	2.03	2.15	1	0.61	1	1.41
crime	جرم	theft	چوری	N	7.53	3.03	2.93	2	0.61	1	1.32
style	انداز	fashion	فیشن	N	8.5	2.67	3.43	2	0.61	1	0.87
boundary	حد	border	سرحد	N	9.08	3.04	4.29	2	0.61	1	0.44
arm	بازو	body	جسم	N	4.05	4.96	4.79	4	0.61	1	0.51
boat	کشتی	car	کار	N	2.37	4.93	4.89	4	0.61	1	1.17
sandwich	سینڈوچ	lunch	دوپہر کا کھانا	N	6.3	4.9	4.31	3	0.58	1	1.53
bride	دلہن	princess	شہزادی	N	2.8	4.63	4.72	3	0.58	1	0.92
heroine	نایکا	hero	ہیرو	N	8.78	4.21	3.07	2	0.56	1	1.79
car	کار	gauge	گیج	N	1.13	4.89	4	3	0.56	1	1.47
insect	کیڑے	bee	مکھی	N	6.07	4.89	4.88	4	0.55	1	1.34
crib	کٹیا	cradle	جھولا	N	8.55	4.86	4.93	4	0.55	1	1.15
animal	جانور	person	شخص	N	3.05	4.61	4.72	3	0.54	1	1.38
marijuana	ماریجوانا	herb	جڑی بوٹی	N	6.5	4.89	4.57	3	0.54	1	0.59
bed	بستر	hospital	ہسپتال	N	0.92	5	4.64	4	0.54	1	1.35
cheek	گال	tongue	زبان	N	4.52	4.83	4.93	4	0.54	1	0.47
disc	ڈسک	computer	کمپیوٹر	N	3.2	4.85	4.93	4	0.54	1	0.44
curve	وکر	angle	زاویہ	N	3.33	4.41	3.5	3	0.53	1	1.51
grass	گھاس	moss	ماں	N	5	4.93	4.9	4	0.53	1	1.27
school	اسکول	law	قانون	N	1.13	4.79	2.57	2	0.52	1	1.49
foot	پاؤں	head	سر	N	2.3	4.9	4.75	4	0.52	1	0.62
mother	ماں	guardian	سرپرست	N	6.5	4.6	3.28	3	0.51	1	1.13
orthodontist	آرتھوڈونٹسٹ	dentist	دانتوں کا ڈاکٹر	N	8.27	4.43	4.93	3	0.51	1	1.47
alcohol	شراب	whiskey	شراب	N	7.27	4.76	4.74	4	0.51	1	1.19
mouth	منہ	tooth	دانت	N	6.3	4.74	4.89	4	0.51	1	1.39
breakfast	ناشتہ	bacon	بیکن	N	4.37	4.43	4.9	3	0.5	1	1.46
bathroom	باتھ روم	bedroom	بیڈروم	N	3.4	4.52	4.9	3	0.5	1	1.73
